occ_code,occ_title,soc10,aioe_lm,aioe_img,aioe_all,communication,responsibility,physical_condition,criticality,routine,skills,complementarity_theta,c_aioe,caioe_w50,median_theta,median_aioe_all
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",435053,0.49983138,0.51458347,5.5004344,44,46,36,49.333332,27,40,0.40388888,4.9794211,5.2399278,0.57583332,6.0017815
41-3041,Travel Agents,413041,0.69547969,0.56351942,6.5455546,45,49.5,28.5,68.333336,42,60,0.48888892,5.369173,5.9573636,0.57583332,6.0017815
53-2011,"Airline Pilots, Copilots, and Flight Engineers",532011,0.52112436,0.58071488,5.9412451,79.5,79,68.5,81.666664,34,80,0.70444441,3.5928032,4.767024,0.57583332,6.0017815
43-2021,Telephone Operators,432021,0.70688558,0.53410041,6.4942198,33,34,34,56.666668,14.5,40,0.35361111,6.2055879,6.3499036,0.57583332,6.0017815
53-2021,Air Traffic Controllers,532021,0.64148629,0.60325694,6.5542088,51,52,42.5,86.666664,37.5,60,0.54944444,4.9793782,5.7667933,0.57583332,6.0017815
51-8091,Chemical Plant and System Operators,518091,0.53810185,0.54731965,5.8618827,54.5,76,76.5,83.333336,33,40,0.60555559,4.1244855,4.9931841,0.57583332,6.0017815
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,434181,0.62224078,0.54170215,6.1370416,76,37.5,65,75.666664,22.5,40,0.52777773,4.7954164,5.466229,0.57583332,6.0017815
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",518093,0.53036213,0.55927765,5.867784,58,74.5,81,83.333336,42.5,40,0.63222224,3.9721637,4.9199739,0.57583332,6.0017815
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",519012,0.49631226,0.54012728,5.6118102,49.5,59,32,75,39.5,40,0.49166667,4.5876546,5.0997324,0.57583332,6.0017815
51-6011,Laundry and Dry-Cleaning Workers,516011,0.50991136,0.52070266,5.5593042,45.5,75.5,34,39,30,20,0.40666667,5.017272,5.2882881,0.57583332,6.0017815
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",514011,0.51002264,0.54795808,5.730886,49.5,50.5,28,63.333332,38.5,60,0.48305553,4.7343488,5.2326174,0.57583332,6.0017815
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",514034,0.4896577,0.53191578,5.5534706,42.5,65.5,25.5,60.666668,37.5,40,0.4527778,4.7559304,5.1547003,0.57583332,6.0017815
39-3021,Motion Picture Projectionists,393021,0.53045893,0.56434745,5.8638968,48,38.5,27,60,34.5,40,0.41333333,5.2530742,5.5584855,0.57583332,6.0017815
43-4011,Brokerage Clerks,434011,0.67390472,0.57381392,6.5506387,50,26,34,66,41.5,60,0.46250001,5.5462074,6.0484228,0.57583332,6.0017815
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",519041,0.4886494,0.53504229,5.5648251,50,62,34.5,63,29.5,40,0.465,4.6976399,5.1312323,0.57583332,6.0017815
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",513091,0.51842004,0.53775215,5.6925201,55.5,54,20.5,65,30,40,0.44166666,4.938261,5.3153906,0.57583332,6.0017815
51-8021,Stationary Engineers and Boiler Operators,518021,0.53642243,0.54519159,5.8077374,50,68,66.5,75.666664,40,60,0.60027778,4.1170406,4.962389,0.57583332,6.0017815
13-1032,"Insurance Appraisers, Auto Damage",131032,0.63587379,0.57278192,6.3336535,50.5,23,59.5,74,46.5,60,0.52249998,4.9824743,5.6580639,0.57583332,6.0017815
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",514035,0.51183534,0.52902204,5.6422777,53.5,57.5,28.5,60.666668,31.5,40,0.4527778,4.831984,5.2371306,0.57583332,6.0017815
51-4041,Machinists,514041,0.50231624,0.54130876,5.6435256,48.5,62.5,33,66,40,60,0.51666665,4.4724941,5.0580101,0.57583332,6.0017815
49-9099,"Installation, Maintenance, and Repair Workers, All Other",499099,0.51815635,0.55128759,5.7685986,71.5,73,67,78.333336,40,40,0.61638892,3.9963567,4.8824778,0.57583332,6.0017815
43-9041,Insurance Claims and Policy Processing Clerks,439041,0.69365877,0.56869435,6.595706,40.5,32,24,57.333332,43.5,40,0.39555556,6.0259104,6.3108082,0.57583332,6.0017815
51-5111,Prepress Technicians and Workers,515111,0.58592296,0.59466851,6.2197485,48.5,35.5,30.5,56.666668,39.5,60,0.45111114,5.3368897,5.7783189,0.57583332,6.0017815
51-8092,Gas Plant Operators,518092,0.5369001,0.55826217,5.9001608,58,59,73,69.333336,45,60,0.60722226,4.1415849,5.0208731,0.57583332,6.0017815
51-9083,Ophthalmic Laboratory Technicians,519083,0.50743717,0.5571996,5.765625,45.5,46.5,31.5,56,45.5,40,0.44166666,5.0016799,5.3836522,0.57583332,6.0017815
29-2012,Medical and Clinical Laboratory Technicians,292012,0.56184316,0.55833453,5.9771843,54.5,51.5,33,67.333336,40.5,60,0.5113889,4.7684646,5.3728247,0.57583332,6.0017815
41-9041,Telemarketers,419041,0.75087798,0.51860946,6.5385818,52.5,29.5,38.5,55,34.5,40,0.41666666,5.8356843,6.1871333,0.57583332,6.0017815
13-2011,Accountants and Auditors,132011,0.68996418,0.59507424,6.7036257,59,49,26.5,64.666664,43.5,80,0.53777778,5.1711025,5.9373641,0.57583332,6.0017815
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",516091,0.50697392,0.53477132,5.647069,66,69.5,36.5,72,36.5,40,0.53416669,4.3764782,5.0117736,0.57583332,6.0017815
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",514081,0.51372999,0.54033357,5.6998219,58.5,57,27.5,57.666668,34,40,0.4577778,4.8527651,5.2762933,0.57583332,6.0017815
13-2072,Loan Officers,132072,0.71251535,0.56341499,6.6592083,65.5,53,38.5,77,46.5,80,0.60083336,4.716939,5.6880736,0.57583332,6.0017815
53-7081,Refuse and Recyclable Material Collectors,537081,0.47796005,0.53194666,5.4560928,42,46,65.5,86.333336,45.5,40,0.54222226,4.1845198,4.8203063,0.57583332,6.0017815
51-8013,Power Plant Operators,518013,0.54829067,0.55039799,5.8775916,57,69.5,64,82,37,40,0.58249998,4.27105,5.0743208,0.57583332,6.0017815
51-8099,"Plant and System Operators, All Other",518099,0.51664335,0.5462203,5.7321024,55.125,73.875,65.5,81.25,40.125,45,0.60145831,4.0566568,4.8943796,0.57583332,6.0017815
51-9151,Photographic Process Workers and Processing Machine Operators,519151,0.54344195,0.55659842,5.8715954,58,57,44.5,52.666668,38,40,0.48361114,4.8473282,5.3594618,0.57583332,6.0017815
13-2071,Credit Counselors,132071,0.70206082,0.57876825,6.6588955,61.25,35.5,30.75,72.333336,44.5,80,0.5405556,5.1181006,5.8884983,0.57583332,6.0017815
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,516061,0.50704581,0.53387463,5.6465106,48,55.5,24.5,48,32.5,40,0.41416666,5.053627,5.350069,0.57583332,6.0017815
51-8011,Nuclear Power Reactor Operators,518011,0.62104267,0.58588123,6.3818998,75,81.5,51,74.333336,30,60,0.61972225,4.3999653,5.3909326,0.57583332,6.0017815
43-4141,New Accounts Clerks,434141,0.68884873,0.56480491,6.5642157,56,38.5,42,61.333332,35.5,60,0.48888886,5.3844805,5.9743481,0.57583332,6.0017815
13-2081,"Tax Examiners and Collectors, and Revenue Agents",132081,0.69332266,0.58157909,6.6506805,46,34,27.5,67.666664,43.5,60,0.46444443,5.6179776,6.1343293,0.57583332,6.0017815
23-2093,"Title Examiners, Abstractors, and Searchers",232093,0.70452899,0.57080054,6.6115251,52,46,30.5,79.333336,50.5,40,0.49722224,5.3681908,5.9898582,0.57583332,6.0017815
11-3061,Purchasing Managers,113061,0.70529473,0.58809525,6.6761956,67.5,57,26.5,58,40.5,80,0.54916668,5.0739088,5.875052,0.57583332,6.0017815
13-1031,"Claims Adjusters, Examiners, and Investigators",131031,0.6807366,0.58778602,6.6075144,50.5,28.5,31,76,46,80,0.51999998,5.2144303,5.9109721,0.57583332,6.0017815
51-9193,Cooling and Freezing Equipment Operators and Tenders,519193,0.49781117,0.5382672,5.6016316,60,73,52,64,41.5,40,0.55083334,4.2479038,4.924768,0.57583332,6.0017815
13-1021,"Buyers and Purchasing Agents, Farm Products",131021,0.64911848,0.57082516,6.3810773,62.5,52.5,40.5,82.666664,51,80,0.61527777,4.4277587,5.404418,0.57583332,6.0017815
43-4131,Loan Interviewers and Clerks,434131,0.69511819,0.58097535,6.6495872,60,48,23,71,48.5,60,0.51749998,5.2642565,5.9569221,0.57583332,6.0017815
